Location,ISO3_code,CBR,TFR
Botswana,BWA,28.85,3.43
Chad,TCD,50.76,7.15
Chile,CHL,16.49,2.06
Ethiopia,ETH,43.37,6.25
Gabon,GAB,33.75,4.51
Myanmar,MMR,22.51,2.76
