Location,ISO3_code,CBR,TFR
Algeria,DZA,23.57,3.07
Bangladesh,BGD,27.34,3.12
Bhutan,BTN,25.57,3.41
Cambodia,KHM,31.16,3.88
Costa Rica,CRI,19.44,2.32
Djibouti,DJI,31.73,4.43
Dominican Republic,DOM,24.82,2.81
Finland,FIN,11.48,1.79
Iceland,ISL,15.32,2.08
Iraq,IRQ,36.1,4.9
Israel,ISR,21.11,2.9
Liechtenstein,LIE,11.48,1.5
Malta,MLT,11.21,1.62
Norway,NOR,12.88,1.86
Somalia,SOM,49.8,7.48
United Kingdom,GBR,12.51,1.78
Zambia,ZMB,44.09,5.8
