Location,ISO3_code,CBR,TFR
Azerbaijan,AZE,19.18,2.09
Eritrea,ERI,37.57,5.27
France,FRA,12.7,1.86
Madagascar,MDG,40.34,5.45
Mexico,MEX,23.74,2.7
Rwanda,RWA,39.54,5.6
Uruguay,URY,15.83,2.19
