Location,ISO3_code,CBR,TFR
Brazil,BRA,18.98,2.18
Liberia,LBR,41.83,5.66
New Zealand,NZL,14.78,2.02
Senegal,SEN,38.66,5.45
Suriname,SUR,23.95,2.86
