Location,ISO3_code,CBR,TFR
Afghanistan,AFG,47.26,7.05
Brunei Darussalam,BRN,20.01,2.38
Iran (Islamic Republic of),IRN,19.26,2.39
Kuwait,KWT,21.76,2.75
Malaysia,MYS,21.31,2.73
Oman,OMN,24.77,3.96
Pakistan,PAK,36.14,5.13
