Location,ISO3_code,CBR,TFR
Bahrain,BHR,19.8,2.73
Comoros,COM,36.47,5.27
Denmark,DNK,11.95,1.76
Egypt,EGY,28.28,3.58
Greece,GRC,9.98,1.39
Jordan,JOR,30.29,4.12
Libya,LBY,23.16,3.1
Mauritania,MRT,39.31,5.6
Morocco,MAR,23.54,2.93
State of Palestine,PSE,38.18,5.3
Tunisia,TUN,19.09,2.34
United Arab Emirates,ARE,15.73,2.59
Western Sahara,ESH,24.89,3.36
Yemen,YEM,40.99,6.21
