Indicators,Region,Year,Percent Change
Births,World,1970-2010,15.48
CBR,World,1970-2010,-39.24
TFR,World,1970-2010,-46.07
NRR,World,1970-2010,-38.18
Population,World,1970-2010,90.81
Births,World,2010-2020,-6.02
CBR,World,2010-2020,-16.34
TFR,World,2010-2020,-10.78
NRR,World,2010-2020,-8.35
Population,World,2010-2020,12.53
Births,World,1970-2020,8.53
CBR,World,1970-2020,-49.16
TFR,World,1970-2020,-51.88
NRR,World,1970-2020,-43.34
Population,World,1970-2020,114.71
