Time,Region,Births,CBR,TFR,NRR,Population
1970,World,124135.907,33.599,4.8251,1.8755,3656697.561
2010,World,143354.237,20.416,2.6021,1.1595,6977189.237
2020,World,134719.611,17.081,2.3216,1.0627,7851414.621
