Time,Region,Total Fertility Rate
1970,Africa,6.69
2010,Africa,4.89
2020,Africa,4.24
1970,Asia,5.59
2010,Asia,2.32
2020,Asia,1.97
1970,Europe,2.28
2010,Europe,1.61
2020,Europe,1.46
1970,Northern America,2.49
2010,Northern America,1.89
2020,Northern America,1.6
1970,Oceania,3.57
2010,Oceania,2.52
2020,Oceania,2.14
1970,Latin America,9.13
2010,Latin America,4.27
2020,Latin America,3.66
