Time,Region,Crude Birth Rate
1970,Africa,46.92
2010,Africa,37.01
2020,Africa,32.14
1970,Asia,37.99
2010,Asia,18.77
2020,Asia,14.73
1970,Europe,16.08
2010,Europe,11.16
2020,Europe,9.27
1970,Northern America,18.54
2010,Northern America,12.62
2020,Northern America,10.6
1970,Oceania,25.08
2010,Oceania,18.21
2020,Oceania,15.52
1970,Latin America,65.22
2010,Latin America,34.56
2020,Latin America,28.28
