Time,Region,Births Per 1000
1970,Africa,17150
2010,Africa,39685
2020,Africa,44374
1970,Asia,81211
2010,Asia,79596
2020,Asia,69048
1970,Europe,10565
2010,Europe,8236
2020,Europe,6947
1970,Northern America,4252
2010,Northern America,4358
2020,Northern America,4006
1970,Oceania,489
2010,Oceania,678
2020,Oceania,684
1970,Latin America,25191
2010,Latin America,25958
2020,Latin America,23327
