Region,Population 1910,Population 2010,Population 2020,Population 2050,Christians 1910,Christians % 1910,Christians 2010,Christians % 2010,Christians 2020,Christians % 2020,Christians 2050,Christians % 2050,Muslims 1910,Muslims % 1910,Muslims 2010,Muslims % 2010,Muslims 2020,Muslims % 2020,Muslims 2050,Muslims % 2050,Hindus 1910,Hindus % 1910,Hindus 2010,Hindus % 2010,Hindus 2020,Hindus % 2020,Hindus 2050,Hindus % 2050,Agnostics 1910,Agnostics % 1910,Agnostics 2010,Agnostics % 2010,Agnostics 2020,Agnostics % 2020,Agnostics 2050,Agnostics % 2050,Chinese folk-religionists 1910,Chinese folk-religionists % 1910,Chinese folk-religionists 2010,Chinese folk-religionists % 2010,Buddhists 1910,Buddhists % 1910,Buddhists 2010,Buddhists % 2010,Buddhists 2020,Buddhists % 2020,Buddhists 2050,Buddhists % 2050,Atheists 1910,Atheists % 1910,Atheists 2010,Atheists % 2010,Atheists 2020,Atheists % 2020,Atheists 2050,Atheists % 2050
Africa,124541000,1022234000,1340598000,2489275000,11636000,9.3,494053000,48.3,654913000,48.9,1280641000,51.4,39916000,32.1,425860000,41.7,556923000,41.5,1043699000,41.9,303000,0.2,2930000,0.3,3555000,0.3,5031000,0.2,8400,0.0,6497000,0.6,8215000,0.6,16509000,0.7,124541000,0.0,1022234000,0.0,3600,0.0,254000,0.0,365000,0.0,611000,0.0,1100,0.0,571000,0.1,739000,0.1,1244000,0.0
Asia,1026693000,4164252000,4641055000,5290263000,25086000,2.4,342012000,8.2,377842000,8.1,559973000,10.6,171690000,16.7,1078854000,25.9,1270800000,27.4,1708609000,32.3,222876000,21.7,941481000,22.6,1049702000,22.6,1194647000,22.6,50400,0.0,504762000,12.1,547520000,11.8,430397000,8.1,1026693000,38.0,4164252000,10.4,137570000,13.4,487038000,11.7,523537000,11.3,566435000,10.7,7600,0.0,114851000,2.8,118157000,2.5,94972000,1.8
Europe,427044000,738199000,747636000,710486000,403546000,94.5,580116000,78.6,572603000,76.6,496682000,69.9,10048000,2.4,41492000,5.6,50647000,6.8,73792000,10.4,65,0.0,1052000,0.1,1275000,0.2,1911000,0.3,1643000,0.4,93325000,12.6,101371000,13.6,112774000,15.9,427044000,0.0,738199000,0.1,428000,0.1,1789000,0.2,1987000,0.3,2606000,0.4,219000,0.1,15697000,2.1,15106000,2.0,17489000,2.5
Latin America,78254000,590082000,653962000,762432000,74462000,95.2,544686000,92.3,653962000,92.2,685870000,90.0,67800,0.1,1527000,0.3,1773000,0.3,2699000,0.4,186000,0.2,765000,0.1,819000,0.1,850000,0.1,446000,0.6,18712000,3.2,22594000,3.5,43154000,5.7,78254000,0.0,590082000,0.0,7100,0.0,759000,0.1,835000,0.1,1608000,0.2,12500,0.0,2900000,0.5,3202000,0.5,4459000,0.6
Northern America,94689000,344529000,368870000,425200000,91429000,96.6,271554000,78.8,368870000,73.1,276078000,64.9,11700,0.0,5492000,1.6,5671000,1.5,12551000,3.0,1200,0.0,1835000,0.5,2080000,0.6,3280000,0.8,1169000,1.2,48119000,14.0,64155000,17.4,91007000,21.4,94689000,0.1,344529000,0.2,47200,0.0,4454000,1.3,4953000,1.3,7951000,1.9,2400,0.0,2156000,0.6,10587000,2.9,21351000,5.0
Oceania,7192000,36593000,42678000,57376000,5651000,78.6,28019000,76.6,42678000,67.1,34776000,60.6,14800,0.2,549000,1.5,888000,2.1,1403000,2.4,16400,0.2,513000,1.4,815000,1.9,1137000,2.0,51100,0.7,5529000,15.1,8281000,19.4,13303000,23.2,7192000,0.2,36593000,0.3,7600,0.1,587000,1.6,980000,2.3,1497000,2.6,1000,0.0,477000,1.3,1732000,4.1,3365000,5.9
